filename,page,content,confidence
BoothVoterList_A4_Ward_211_Booth_1.pdf,2,"यादी भाग क्र. १३७  :  म्यु.घ.नं.२१ए, गनी अत्तरवाला चाळ, घेलाबाई रोड,",85
BoothVoterList_A4_Ward_211_Booth_1.pdf,7,"यादी भाग क्र. १३७  :  म्यु.घ.नं.२१, गनी अत्तरवाला चाळ, घेलाबाई रोड,",89
BoothVoterList_A4_Ward_211_Booth_1.pdf,12,"यादी भाग क्र. १३७ : म्यु.घ.नं.१९, नवी चाळ, घेलाबाई रोड,",87
BoothVoterList_A4_Ward_211_Booth_1.pdf,18,"यादी भाग क्र. १३७  :  म्यु.घ.नं.२१, आखाडे की चाळ, घेलाबाई रोड,",92
BoothVoterList_A4_Ward_211_Booth_1.pdf,20,"यादी भाग क्र. १३७  :  म्यु.घ.नं.२१, आखाडे की चाल, दुसरा घेलाभाई रोड",89
BoothVoterList_A4_Ward_211_Booth_1.pdf,21,"यादी भाग क्र. १३७  :  घेलाबाई मदन पुरा, दुसरा घेलाभाई रोड,",89
BoothVoterList_A4_Ward_211_Booth_1.pdf,22,"यादी भाग क्र. १३७  :  दानिश विला, तिसरा घेलाभाई रोड, मदनपुरा",91
BoothVoterList_A4_Ward_211_Booth_1.pdf,27,"यादी भाग क्र. १३७ : म्यु.घ.नं.१९, नवी चाळ, घेलाबाई रोड,",87
BoothVoterList_A4_Ward_211_Booth_1.pdf,28,"यादी भाग क्र. १३७  :  दानिश विला, तिसरा घेलाभाई रोड, मदनपुरा",91
BoothVoterList_A4_Ward_211_Booth_1.pdf,29,"यादी भाग क्र. १३७ : म्यु.घ.नं.१९, नवी चाळ, घेलाबाई रोड,",87
BoothVoterList_A4_Ward_211_Booth_1.pdf,30,"यादी भाग क्र. १३७  :  म्यु.घ.नं.२१ए, गनी अत्तरवाला चाळ, घेलाबाई रोड,",85
BoothVoterList_A4_Ward_211_Booth_1.pdf,31,"यादी भाग क्र. १३७  :  दानिश विला, तिसरा घेलाभाई रोड, मदनपुरा",91
BoothVoterList_A4_Ward_211_Booth_1.pdf,32,"यादी भाग क्र. १३७  :  म्यु.घ.नं.२१, गनी अत्तरवाला चाळ, घेलाबाई रोड,",89
BoothVoterList_A4_Ward_211_Booth_1.pdf,33,"यादी भाग क्र. १३७  :  म्यु.घ.नं.२१, आखाडे की चाळ, घेलाबाई रोड,",92
BoothVoterList_A4_Ward_211_Booth_1.pdf,34,"यादी भाग क्र. १३७  :  दानिश विला, तिसरा घेलाभाई रोड, मदनपुरा",91
BoothVoterList_A4_Ward_211_Booth_1.pdf,35,"यादी भाग क्र. १३७  :  म्यु.घ.नं.२१, गनी अत्तरवाला चाळ, घेलाबाई रोड,",89
BoothVoterList_A4_Ward_211_Booth_1.pdf,36,"यादी भाग क्र. १३७  :  दानिश विला, तिसरा घेलाभाई रोड, मदनपुरा",91
BoothVoterList_A4_Ward_211_Booth_1.pdf,37,"यादी भाग क्र. १३७ : म्यु.घ.नं.१९, नवी चाळ, घेलाबाई रोड,",87
BoothVoterList_A4_Ward_211_Booth_1.pdf,38,"यादी भाग क्र. १३७  :  दानिश विला, तिसरा घेलाभाई रोड, मदनपुरा",91
BoothVoterList_A4_Ward_211_Booth_1.pdf,39,"यादी भाग क्र. १३७ : म्यु.घ.नं.१९, नवी चाळ, घेलाबाई रोड,",87
BoothVoterList_A4_Ward_211_Booth_1.pdf,40,"यादी भाग क्र. १३७  :  दानिश विला, तिसरा घेलाभाई रोड, मदनपुरा",91
BoothVoterList_A4_Ward_211_Booth_1.pdf,41,"यादी भाग क्र. १३७ : म्यु.घ.नं.१९, नवी चाळ, घेलाबाई रोड,",87
BoothVoterList_A4_Ward_211_Booth_10.pdf,2,"यादी भाग क्र. १९८  :  SATS चाळ, २री घेलाबाई रोड,",87
BoothVoterList_A4_Ward_211_Booth_10.pdf,6,"यादी भाग क्र. १९८  :  PRAMS चाळ, २री घेलाबाई रोड,",82
BoothVoterList_A4_Ward_211_Booth_10.pdf,8,"यादी भाग क्र. १९८  :  म्यु.घ.नं.५, भीवंडीवाली चाळ, २री घेलाबाई रोड,",92
BoothVoterList_A4_Ward_211_Booth_10.pdf,10,"यादी भाग क्र. १९८  :  म्यु.घ.नं.७, दुखी शेठ चाळ, २री घेलाबाई रोड,",93
BoothVoterList_A4_Ward_211_Booth_10.pdf,13,"यादी भाग क्र. १९८  :  म्यु.घ.नं.१३-१५, रंगारी हसन चाळ, २री घेलाबाई रोड,",92
BoothVoterList_A4_Ward_211_Booth_10.pdf,14,"यादी भाग क्र. १९८  :  म्यु.घ.नं.१७-१९, रहीमशेठ चाळ, WT घेलाबाई रोड,",91
BoothVoterList_A4_Ward_211_Booth_10.pdf,17,"यादी भाग क्र. १९८  :  म्यु.घ.नं.२१ (अ), इसासुमार चाळ, २री घेलाबाई रोड,",92
BoothVoterList_A4_Ward_211_Booth_10.pdf,21,"यादी भाग क्र. १९८  :  म्यु.घ.नं.८ बोरी चाळ, २री घेलाबाई रोड,",92
BoothVoterList_A4_Ward_211_Booth_10.pdf,25,"यादी भाग क्र. १९८  :  म्यु.घ.नं.९, मोहसीन चाळ, २री घेलाबाई रोड,",93
BoothVoterList_A4_Ward_211_Booth_10.pdf,26,"यादी भाग क्र. १९८  :  म्यु.घ.नं.१० युसुफ मंझिल, W घेलाबाई रोड,",90
BoothVoterList_A4_Ward_211_Booth_10.pdf,27,"यादी भाग क्र. १९८  :  म्यु.घ.नं.११, याकुब मंझील, २री घेलाबाई रोड,",92
BoothVoterList_A4_Ward_211_Booth_10.pdf,30,"यादी भाग क्र. १९८  :  म्यु.घ.नं.२२ सी, हुसैन बिल्डींग, मोहम मद उमर रजब रोड,",92
BoothVoterList_A4_Ward_211_Booth_10.pdf,34,"यादी भाग क्र. १९८  :  हुसैन बिल्डींग डी ब्लॉक, मोहम्मद उमर रजब रोड,",90
BoothVoterList_A4_Ward_211_Booth_10.pdf,35,"यादी भाग क्र. १९८  :  हुसैन बिल्डींग, मोहम्मद उमर रजब रोड,",93
BoothVoterList_A4_Ward_211_Booth_10.pdf,36,"यादी भाग क्र. १९८  :  केएसए हरीस, 2 घेलाभाई स्ट्रीट, मदनपुरा, मुंबई - ४००००८",91
BoothVoterList_A4_Ward_211_Booth_10.pdf,37,"यादी भाग क्र. १९८  :  म्यु.घ.नं.८ बोरी चाळ, २री घेलाबाई रोड,",92
BoothVoterList_A4_Ward_211_Booth_10.pdf,38,"यादी भाग क्र. १९८  :  म्यु.घ.नं.११, याकुब मंझील, २री घेलाबाई रोड,",92
BoothVoterList_A4_Ward_211_Booth_10.pdf,39,"यादी भाग क्र. १९८  :  SATS चाळ, २री घेलाबाई रोड,",87
BoothVoterList_A4_Ward_211_Booth_10.pdf,40,"यादी भाग क्र. १९८  :  म्यु.घ.नं.१७-१९, रहीमशेठ चाळ, WT घेलाबाई रोड,",91
BoothVoterList_A4_Ward_211_Booth_10.pdf,41,"यादी भाग क्र. १९८  :  म्यु.घ.नं.८ बोरी चाळ, २री घेलाबाई रोड,",92
BoothVoterList_A4_Ward_211_Booth_10.pdf,42,"यादी भाग क्र. १९८  :  म्यु.घ.नं.२१ (अ), इसासुमार चाळ, २री घेलाबाई रोड,",92
BoothVoterList_A4_Ward_211_Booth_10.pdf,43,"यादी भाग क्र. १९८  :  केएसए हरीस, 2 घेलाभाई स्ट्रीट, मदनपुरा, मुंबई - ४००००८",91
BoothVoterList_A4_Ward_211_Booth_10.pdf,44,"यादी भाग क्र. १९८  :  म्यु.घ.नं.१७-१९, रहीमशेठ चाळ, WT घेलाबाई रोड,",91
BoothVoterList_A4_Ward_211_Booth_10.pdf,45,"यादी भाग क्र. १९८  :  म्यु.घ.नं.५, भीवंडीवाली चाळ, २री घेलाबाई रोड,",92
BoothVoterList_A4_Ward_211_Booth_10.pdf,46,"यादी भाग क्र. १९८  :  म्यु.घ.नं.२२ सी, हुसैन बिल्डींग, मोहम मद उमर रजब रोड,",92
BoothVoterList_A4_Ward_211_Booth_10.pdf,47,"यादी भाग क्र. १९८  :  म्यु.घ.नं.५, भीवंडीवाली चाळ, २री घेलाबाई रोड,",92
BoothVoterList_A4_Ward_211_Booth_10.pdf,48,"यादी भाग क्र. १९८  :  म्यु.घ.नं.१७-१९, रहीमशेठ चाळ, WT घेलाबाई रोड,",91
BoothVoterList_A4_Ward_211_Booth_10.pdf,49,"यादी भाग क्र. १९८  :  म्यु.घ.नं.५, भीवंडीवाली चाळ, २री घेलाबाई रोड,",92
BoothVoterList_A4_Ward_211_Booth_10.pdf,50,"यादी भाग क्र. १९८  :  केएसए हरीस, 2 घेलाभाई स्ट्रीट, मदनपुरा, मुंबई - ४००००८",91
BoothVoterList_A4_Ward_211_Booth_10.pdf,51,"यादी भाग क्र. १९८  :  ४०००११, हुसैन बिल्डींग, मोहम्मद उमर रजब रोड,",93
BoothVoterList_A4_Ward_211_Booth_10.pdf,52,"यादी भाग क्र. १९८  :  हुसैन बिल्डींग डी ब्लॉक, मोहम्मद उमर रजब रोड,",90
